PID,product_name,retail_price,simplified_categories,rating,recommedation probablity
PID9786,FabAlley Casual Full Sleeve Solid Women's Top,1150,Clothing|Women's Clothing,3.1,
PID9787,Pannkh Self Design Single Breasted Casual Women's Blazer,3599,Clothing|Women's Clothing,3.8,
PID9788,Jacknjewel Enchanting White Gold Diamond 18 K Ring,18820,Jewellery|Rings,3.8,
PID9789,Pannkh Printed Single Breasted Casual Women's Blazer,3599,Clothing|Women's Clothing,3.5,
PID9790,Pannkh Printed Single Breasted Casual Women's Blazer,3599,Clothing|Women's Clothing,3.2,
PID9791,Chimp Graphic Print Men's Round Neck T-Shirt,799,Clothing|Men's Clothing,2.8,
PID9792,Chimp Graphic Print Men's Round Neck T-Shirt,799,Clothing|Men's Clothing,2.8,
PID9793,Chimp Graphic Print Men's Round Neck T-Shirt,799,Clothing|Men's Clothing,2.8,
PID9794,Chimp Graphic Print Men's Round Neck T-Shirt,799,Clothing|Men's Clothing,4.7,
PID9795,Chimp Graphic Print Men's Round Neck T-Shirt,799,Clothing|Men's Clothing,3.2,
PID9796,WearYourShine by PCJ The Brietta Gold Diamond 18 K Ring,21734,Jewellery|Rings,4.1,
PID9797,Royal Diamond Jewellery Charisma Gold- Yellow Gold Diamond Yellow Gold 14 K Ring,6900,Jewellery|Rings,4.8,
PID9798,Wrangler Solid Turtle Neck Casual Men's Sweater,2395,Clothing|Men's Clothing,2.9,
PID9799,Alluring Silver Swarovski Crystal Ring,3680,Jewellery|Rings,4.7,
PID9800,WearYourShine by PCJ The Nitza Diamond Gold Diamond Yellow Gold 18 K Ring,7403,Jewellery|Rings,3.5,
PID9801,WearYourShine by PCJ The Ramizah Diamond Gold Diamond Yellow Gold 18 K Ring,7390,Jewellery|Rings,4.5,
PID9802,ALLURING Silver Swarovski Crystal Rhodium NA K Ring,2560,Jewellery|Rings,3.2,
PID9803,Alluring Silver Swarovski Crystal Rhodium Ring,2600,Jewellery|Rings,2.9,
PID9804,ACM Pouch for Oneplus One,990,Mobiles & Accessories|Mobile Accessories,3.5,
PID9805,Metro Active Casual Shoes,1490,Footwear|Women's Footwear,3.1,
PID9806,CaratLane Cara Cluster Gold Diamond 18 K Ring,25404,Jewellery|Rings,5,
PID9807,Teen Tees Graphic Print Men's Round Neck T-Shirt,799,Clothing|Men's Clothing,3.2,
PID9808,TSG Breeze Casual Sleeveless- Short Sleeve Solid Women's Top,949,Clothing|Women's Clothing,4.3,
PID9809,TSG Breeze Casual Sleeveless- Short Sleeve Solid Women's Top,1099,Clothing|Women's Clothing,3.8,
PID9810,Bebo Casual Full Sleeve Solid Women's Top,1299,Clothing|Women's Clothing,4.9,
